voltage x,voltage y,time
-7.678316819,7.706179323,0.587
-7.68522258,7.708481211,0.588
-7.688511039,7.706837005,0.589
-7.688182193,7.70815237,0.59
-7.695416801,7.703548595,0.591
-7.692128342,7.699273661,0.592
-7.693772572,7.696314091,0.593
-7.687853347,7.70223323,0.594
-7.679961048,7.710454257,0.595
-7.673384132,7.717031079,0.596
-7.671082211,7.713742668,0.597
-7.671411057,7.717688761,0.598
-7.67272644,7.717688761,0.599
-7.67042452,7.71735992,0.6
-7.667136062,7.706837005,0.601
-7.657270689,7.715386873,0.602
-7.653982231,7.728211676,0.603
-7.6602303,7.707823529,0.604
-7.671082211,7.701246707,0.605
-7.674699515,7.695656409,0.606
-7.676014898,7.704206277,0.607
-7.676343744,7.705850482,0.608
-7.676014898,7.7051928,0.609
-7.672397594,7.707165846,0.61
-7.695416801,7.703219754,0.611
-7.690812959,7.697300614,0.612
-7.692128342,7.692367998,0.613
-7.688511039,7.700260184,0.614
-7.678316819,7.707165846,0.615
-7.673712978,7.711769622,0.616
-7.67042452,7.714729191,0.617
-7.669109136,7.719661807,0.618
-7.672068749,7.71735992,0.619
-7.671739903,7.716702238,0.62
-7.667136062,7.708481211,0.621
-7.668780291,7.725580947,0.622
-7.667793753,7.727882835,0.623
-7.662861067,7.725252106,0.624
-7.670095674,7.718017602,0.625
-7.678645664,7.712427304,0.626
-7.674041823,7.712756145,0.627
-7.678645664,7.712098463,0.628
-7.677001435,7.712427304,0.629
-7.679303356,7.710454257,0.63
-7.682591814,7.701904389,0.631
-7.69311488,7.694341045,0.632
-7.70100718,7.69598525,0.633
-7.695745646,7.700917866,0.634
-7.687195655,7.710125416,0.635
-7.681605277,7.716702238,0.636
-7.679303356,7.715386873,0.637
-7.677987973,7.71440035,0.638
-7.673384132,7.716373397,0.639
-7.666807216,7.719332966,0.64
-7.664834141,7.723936742,0.641
-7.659243763,7.724594424,0.642
-7.653982231,7.731171245,0.643
-7.657599534,7.725252106,0.644
-7.665162987,7.715715714,0.645
-7.671739903,7.712098463,0.646
-7.685551426,7.706837005,0.647
-7.687524501,7.710125416,0.648
-7.685880272,7.710454257,0.649
-7.687195655,7.710783098,0.65
-7.680289893,7.703548595,0.651
-7.687195655,7.687106541,0.652
-7.691470651,7.679872038,0.653
-7.688182193,7.69302568,0.654
-7.676014898,7.702890913,0.655
-7.667464908,7.714071509,0.656
-7.665820679,7.714071509,0.657
-7.663518758,7.71735992,0.658
-7.675357206,7.712756145,0.659
-7.681605277,7.718675284,0.66
-7.675357206,7.72031949,0.661
-7.658914917,7.72656747,0.662
-7.65792838,7.73248661,0.663
-7.6602303,7.727882835,0.664
-7.669766828,7.710454257,0.665
-7.668780291,7.70815237,0.666
-7.685551426,7.714071509,0.667
